topic,theme,area,learning_objective
Epistemology,Philosophical,foundational concepts,Describe epistemology in the context of geographic information science & technologies
Epistemology,Philosophical,foundational concepts,Explain how some epistemologies differ from others
Epistemology,Philosophical,foundational concepts,Compare and contrast epistemology and ontology
Space,Domains of Geographic Information,foundational concepts,Differentiate between absolute and relative descriptions of location
Space,Domains of Geographic Information,foundational concepts,"Define the four basic dimensions or shapes used to describe spatial objects (i.e., points, lines, regions, volumes)"
Space,Domains of Geographic Information,foundational concepts,Discuss the contributions that different perspectives on the nature of space bring to an understanding of geographic phenomenon
Space,Domains of Geographic Information,foundational concepts,"Justify the discrepancies between the nature of locations in the real world and representations thereof (e.g., towns as points)"
Space,Domains of Geographic Information,foundational concepts,Select appropriate spatial metaphors and models of phenomena to be represented in GIS
Space,Domains of Geographic Information,foundational concepts,Develop methods for representing non-cartesian models of space in GIS
Space,Domains of Geographic Information,foundational concepts,Discuss the advantages and disadvantages of the use of cartesian/metric space as a basis for GIS and related technologies
Space,Domains of Geographic Information,foundational concepts,"Differentiate between common-sense, Cartesian/metric, relational, relativistic, phenomenological, social constructivist, and other theories of the nature of space"
Time,Domains of Geographic Information,foundational concepts,Differentiate between phenomenological and mathematical theories of the nature of time
Time,Domains of Geographic Information,foundational concepts,"Describe how calendar time, clock time, and world time is defined and measured"
Time,Domains of Geographic Information,foundational concepts,Recognize the roles of time in “static” and “dynamic” GISystems
Time,Domains of Geographic Information,foundational concepts,"Compare and contrast discrete, continuous, and spacetime perspectives of time to model dynamics in geographical phenomena and human-environment interactions"
Time,Domains of Geographic Information,foundational concepts,"Exemplify ordinal, linear, cyclical frames of reference and the temporal relationships"
Time,Domains of Geographic Information,foundational concepts,"Choose appropriate representations of time based on the behavior type of a dynamic system (among static, oscillating, chaotic and stochastic)."
Time,Domains of Geographic Information,foundational concepts,Compare different temporal resolutions of spatio-temporal data
Time,Domains of Geographic Information,foundational concepts,"Demonstrate awareness of current advance in collecting, managing and analyzing spatio-temporal data"
Time,Domains of Geographic Information,foundational concepts,How do we perceive time through interactions with the physical environment?
Time,Domains of Geographic Information,foundational concepts,What is the Coordinated Universal Time (UTC)? How the time zones are defined?
Time,Domains of Geographic Information,foundational concepts,Compare and contrast discrete time and continuous time
Time,Domains of Geographic Information,foundational concepts,Use time geography as an example to illustrate the spacetime perspective of time
Time,Domains of Geographic Information,foundational concepts,"Provide examples of ordinal, linear, and cyclical time"
Time,Domains of Geographic Information,foundational concepts,Choose the appropriate temporal resolution for a specific problem or application
Time,Domains of Geographic Information,foundational concepts,Determine the appropriate perspective and representation(s) of time for a given spatio-temporal analysis or modeling task
Properties,Domains of Geographic Information,foundational concepts,Formalize attribute values and domains in terms of set theory
Properties,Domains of Geographic Information,foundational concepts,Develop alternative forms of representations for situations in which attributes do not adequately capture meaning
Properties,Domains of Geographic Information,foundational concepts,"Define Stevens’ four levels of measurement (i.e., nominal, ordinal, interval, ratio)"
Properties,Domains of Geographic Information,foundational concepts,Describe particular geographic phenomena in terms of attributes
Properties,Domains of Geographic Information,foundational concepts,Determine the proper uses of attributes based on their domains
Properties,Domains of Geographic Information,foundational concepts,"Characterize the domains of attributes in a GIS, including continuous and discrete, qualitative and quantitative, absolute and relative"
Properties,Domains of Geographic Information,foundational concepts,"Recognize situations and phenomena in the landscape which cannot be adequately represented by formal attributes, such as aesthetics"
Properties,Domains of Geographic Information,foundational concepts,Compare and contrast the theory that properties are fundamental (and objects are human simplifications of patterns thereof) with the theory that objects are fundamental (and properties are attributes thereof)
Properties,Domains of Geographic Information,foundational concepts,"Recognize attribute domains that do not fit well into Stevens’ four levels of measurement such as cycles, indexes, and hierarchies"
Networks Defined,Domains of Geographic Information,foundational concepts,Describe networks that apply to specific applications or industries
Networks Defined,Domains of Geographic Information,foundational concepts,Define different interpretations of
Networks Defined,Domains of Geographic Information,foundational concepts,cost
Networks Defined,Domains of Geographic Information,foundational concepts,in various routing applications
Networks Defined,Domains of Geographic Information,foundational concepts,Create a data set with network attributes and topology
Networks Defined,Domains of Geographic Information,foundational concepts,"Define the following terms pertaining to a network: vertex, edges, nodes, links, loops, parallel edges, route, walk, path, circuit, cycle, the degree of a node, diameter."
Networks Defined,Domains of Geographic Information,foundational concepts,How are physical and logical networks different from each other?
Networks Defined,Domains of Geographic Information,foundational concepts,What are planar and non-planar graphs?
Networks Defined,Domains of Geographic Information,foundational concepts,Describe how network connectivity can be represented with a connectivity matrix.
